2,Tran Thi B,a2@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
3,Nguyen Van A,a3@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
4,Tran Thi B,a4@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
5,Nguyen Van A,a5@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
6,Tran Thi B,a6@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
7,Nguyen Van A,a7@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
8,Tran Thi B,a8@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
9,Nguyen Van A,a9@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
10,Tran Thi B,a10@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
11,Nguyen Van A,a1@student.ctu.edu.vn,2/2/2003,2/29/2024 19:13,81dc9bdb52d04dc20036dbd8313ed055,anh_chat_luong_cao.jpg
